"","X","Y","DDEG0","SLOPE","MIND","SOLRAD","TPI"
"214",575305,138001.9,17870,7.96,273,5594129,-63
"215",578097.3,126797.3,16503,27.03,521,4307569,-110
"216",567494,129402.2,27565,19.21,-78,5977464,31
"217",568400,141500,19495,39.2,568,3410476,64
"218",572202.6,124701.8,26273,14.49,-39,5699334,-59
"219",571511.9,138702,15660,32.38,909,2643608,-199
"220",568325.9,130398.8,26131,20.53,-87,6332566,63
"221",577187.2,123302.2,14685,37.45,700,3968878,-141
"222",558229.8,148297.1,29474,11.92,3,6590325,-35
"223",569189.5,133409.8,27072,14.14,-224,7068107,-78
"224",572299.3,120103,12868,22.59,509,4872706,131
"225",579502.3,146799.2,26367,16.8,158,5266022,-125
"226",571000,122800,25822,15.46,3,5233200,21
"227",567495.4,138403.1,20139,5.26,80,5592734,-147
"228",575000.6,145775,27730,10.53,-43,5736776,-94
"229",571100.3,118396.6,12747,31.39,749,3311084,4
"230",558928,150370.2,28345,3.13,5,6316899,-21
"231",580001.8,147096.6,26307,16.13,132,5042641,-131
"232",577503.1,127204.8,17478,31.09,208,8149337,-142
"233",576600,121200,9801,56.08,1054,1824986,-93
"234",572201.4,133801.8,25173,18.83,136,4993461,-69
"235",573001,147000.2,23373,21.57,-93,7979936,-44
"236",581497.5,131291.2,8595,47.75,1299,2589177,66
"237",559275.4,151124,28637,8.13,30,6116678,-38
"238",571098.2,146497.4,24805,9.93,-159,7263203,172
"239",577501.2,145595,23001,15.92,28,6810056,13
"240",571898.9,133906.8,25283,32.6,12,6019725,-6
"241",575796,129984.7,17734,19.62,177,7490976,-73
"242",561026.6,143900.2,29261,14.76,-5,7416155,53
"243",580201.8,150796.7,18427,2.96,175,6842991,151
"244",573105.7,118601.3,16550,19.31,420,4669883,-179
"245",573099.5,119599.5,15925,20.4,300,5697526,-50
"246",571051.1,146399.7,25351,26.9,-195,8062380,191
"247",573103.4,118598.5,16550,19.31,420,4669883,-179
"248",580700,126300,13303,12.98,486,5585020,-20
"249",582198.2,152691.8,15353,21.26,285,6985477,-62
"250",569921,133567.9,28675,20.05,-249,7094290,-125
"251",573199.9,119600.8,16374,18.47,262,6028581,-75
"252",566766.3,121184,38023,1.7,-464,6276535,-15
"253",576399.9,128498.4,19046,6.17,218,5774698,-160
"254",567007.6,119415.6,36538,16.59,-544,7281173,-4
