"","Achillea_millefolium","Adonis_vernalis","Allium_carinatum","Anemone_patens","Anemone_pulsatilla","Anthericum_ramosum","Anthyllis_vulneraria","Arrhenatherum_elatius","Asperula_cynanchica","Asperula_tinctoria","Aster_amellus","Biscutella_laevigata","Brachypodium_pinnatum","Briza_media","Bromus_erectus","Buphthalmum_salicifolium","Campanula_glomerata","Campanula_rotundifolia","Carduus_defloratus","Carex_caryophyllea","Carex_ericetorum","Carex_humilis","Carex_montana","Centaurea_pannonica","Centaurea_scabiosa","Crepis_alpestris","Cytisus_ratisbonensis","Dactylis_glomerata","Danthonia_decumbens","Daphne_cneorum","Dorycnium_pentaphyllum_ssp_germanicum","Erica_herbacea","Euphorbia_cyparissias","Euphorbia_verrucosa","Euphrasia_picta","Festuca_rubra","Festuca_rupicola","Filipendula_vulgaris","Galium_boreale","Galium_mollugo","Galium_pumilum","Galium_verum","Genista_tinctoria","Gentiana_verna","Gentianella_germanica","Globularia_cordifolia","Globularia_punctata","Helianthemum_ovatum","Helictotrichon_pratense","Helictotrichon_pubescens","Hippocrepis_comosa","Hypericum_perforatum","Inula_hirta","Knautia_arvensis","Koeleria_macrantha","Koeleria_pyramidata","Leontodon_hispidus","Leontodon_incanus","Linaria_vulgaris","Linum_catharticum","Linum_perenne","Lotus_corniculatus_ssp_corniculatus","Lotus_corniculatus_ssp_hirsutus","Molinia_caerulea","Peucedanum_oreoselinum","Pilosella_macrantha","Pilosella_officinarum","Pimpinella_saxifraga","Plantago_lanceolata","Plantago_media","Polygala_amarella","Polygala_chamaebuxus","Polygonatum_odoratum","Potentilla_alba","Potentilla_incana","Primula_veris","Prunella_grandiflora","Ranunculus_bulbosus","Rhamnus_saxatilis","Rhinanthus_aristatus","Salvia_pratensis","Sanguisorba_minor","Scabiosa_canescens","Scabiosa_columbaria","Seseli_annuum","Sesleria_albicans","Stachys_officinalis","Taraxacum_campylodes","Teucrium_montanum","Thesium_linophyllon","Thymus_praecox","Trifolium_montanum","Trifolium_pratense","Veronica_spicata","Vicia_cracca","Viola_hirta","Viola_rupestris"
"X84I21",0,0,0,0,1,47,12,0,8,9,0,0,31,0,10,0,0,0,0,26,2,86,7,9,4,0,1,0,0,0,0,0,5,2,33,0,1,20,0,0,0,0,6,5,1,40,11,35,0,0,31,0,0,0,0,0,0,25,0,0,10,7,0,0,0,4,0,0,0,5,0,38,0,0,80,0,0,0,0,15,0,0,1,0,0,0,0,0,29,8,3,0,0,0,0,0,0
"X84I22",0,0,0,1,2,32,2,0,9,10,0,0,48,0,2,11,0,2,0,12,0,97,5,5,0,0,0,0,0,2,0,0,5,3,12,0,0,10,0,0,0,0,1,0,2,46,0,44,0,0,26,0,0,0,0,3,2,10,0,2,0,3,0,0,26,0,0,18,0,0,0,82,0,0,31,0,1,0,0,11,0,0,0,0,0,0,0,0,1,9,3,0,0,0,0,0,0
"X84I23",0,0,0,0,0,58,0,0,21,12,0,0,45,0,37,0,0,2,0,23,4,96,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,38,0,0,0,0,0,0,7,18,2,35,0,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,43,0,0,2,0,0,0,5,0,0,29,0,0,0,0,15,0,0,0,0,0,1,3,0,7,5,17,0,0,0,0,0,0
"X84I24",0,0,0,0,1,0,6,0,21,27,0,2,42,1,26,15,0,0,0,19,2,87,0,5,0,0,1,0,0,0,0,0,1,11,1,0,3,41,0,0,0,0,38,0,1,70,6,25,0,0,15,0,0,0,0,5,2,2,0,0,15,0,2,0,29,0,0,1,0,0,0,63,0,0,47,0,0,0,0,22,0,0,0,0,0,1,13,0,20,3,38,11,0,0,0,10,0
"X84I25",0,0,0,0,1,22,0,0,5,5,0,0,84,0,35,0,0,5,0,6,5,80,0,2,3,0,2,0,0,2,0,0,3,5,0,0,4,33,0,0,0,0,20,0,7,3,0,25,0,0,10,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,2,0,0,17,0,2,0,0,2,0,0,0,0,0,0,5,0,10,0,2,1,0,0,0,1,0
"X84I26",0,0,0,0,0,48,17,0,16,17,0,0,51,1,30,1,0,0,2,2,0,96,0,18,1,0,4,0,0,0,0,0,1,7,6,0,3,11,0,0,0,0,16,0,2,10,0,15,0,0,10,0,0,0,0,2,0,3,0,0,2,0,0,0,32,0,0,0,0,0,0,40,0,0,26,0,0,0,10,20,0,0,3,0,0,1,8,0,1,5,0,3,0,0,0,1,0
"X84I27",0,0,0,0,0,39,0,0,4,2,0,0,81,6,43,0,0,0,0,3,0,83,0,9,0,0,5,0,0,0,0,0,5,0,1,0,5,5,0,0,0,0,0,0,3,0,0,24,1,0,1,0,0,1,0,4,0,0,0,0,2,1,0,0,20,0,0,2,0,0,0,4,0,0,14,0,0,0,0,9,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
"X84II1",0,6,0,0,0,2,0,0,0,0,0,0,47,0,40,1,0,5,0,0,0,19,8,0,0,0,0,0,0,0,0,0,0,7,0,0,0,26,9,0,0,15,18,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,5,0
"X84II2",0,0,0,0,0,0,0,0,0,6,0,0,6,0,6,0,0,0,0,0,0,73,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,19,0,0,0,0,14,0,0,0,19,8,0,0,0,0,3,0,0,12,1,0,0,0,0,0,0,33,12,0,0,3,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,9,0
"X84II3",0,0,0,0,0,10,0,0,16,5,1,0,47,2,36,0,0,0,0,0,4,90,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,15,0,0,0,0,9,0,0,1,2,11,0,0,2,0,1,0,0,10,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,3,0,0,69,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,11,0,0,1,0,0,0
"X84II4",0,0,0,0,0,0,0,0,2,20,0,1,34,0,11,1,0,0,8,4,2,97,0,5,0,0,6,0,0,0,0,0,0,2,0,0,1,10,0,0,0,0,2,0,0,0,0,2,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,51,0,0,58,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
"X84II5",0,0,0,0,0,0,0,0,6,17,0,0,22,0,15,0,0,0,7,20,1,100,0,9,0,0,14,0,0,0,0,0,0,1,0,0,2,29,1,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,4,0,0,0,6,0,0,5,0,1,0,0,14,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,1,0
"X84II6",0,0,0,0,0,1,0,0,6,3,3,0,46,0,24,3,0,0,19,16,10,75,4,3,0,0,0,0,0,0,0,0,0,9,0,0,0,6,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,30,0,0,4,0,3,0,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,6,0
"X84II7",0,0,0,1,1,19,0,0,10,2,0,0,50,1,25,5,0,1,3,24,13,96,8,6,0,0,0,0,16,0,0,0,1,0,0,0,1,8,0,0,0,0,8,0,0,2,0,6,0,0,4,0,0,0,0,0,1,1,0,5,1,0,0,0,22,0,0,0,0,0,0,61,0,0,1,0,8,0,0,17,0,0,0,0,0,0,1,0,2,0,0,3,0,0,0,17,3
"X84II8",0,0,0,6,0,66,0,0,2,0,0,0,53,0,5,4,0,1,6,10,0,94,3,1,1,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,4,1,4,22,0,2,0,0,4,0,0,0,0,0,0,8,0,0,16,1,1,0,4,0,0,1,0,0,0,40,0,0,10,0,4,0,0,7,0,0,0,0,0,3,3,1,18,4,0,2,0,0,0,10,1
"X84II14",0,0,0,0,0,0,3,0,12,30,0,1,52,5,34,0,0,1,0,2,5,81,0,4,0,0,12,0,0,0,0,0,6,19,0,0,4,36,0,0,0,0,37,1,1,0,0,30,0,0,0,0,0,3,19,39,0,1,0,1,4,0,0,0,36,0,0,0,0,7,0,19,0,0,48,0,0,0,0,24,1,0,2,0,0,0,18,0,6,0,0,17,0,0,0,42,1
"X84III1",0,0,0,0,0,23,0,1,0,56,2,0,70,3,35,0,0,1,0,2,19,60,11,0,5,0,4,0,0,1,0,0,0,1,0,0,4,36,0,0,0,1,0,0,0,1,0,34,1,0,6,1,4,0,0,16,0,0,0,0,0,1,0,0,27,0,0,0,0,0,0,24,0,0,35,0,0,0,0,10,8,0,0,1,0,4,0,0,0,0,0,0,0,0,0,6,2
"X84III2",0,0,0,0,0,58,0,0,0,19,1,2,39,5,29,10,0,2,10,12,9,87,1,1,6,0,16,0,1,0,0,0,2,15,0,0,1,43,0,0,0,0,0,1,0,16,0,28,0,0,8,0,0,0,0,6,9,18,0,0,1,0,0,0,14,0,0,0,0,2,0,75,0,0,15,0,2,0,0,7,0,0,0,0,0,0,4,0,3,5,0,2,0,0,0,15,1
"X84III3",0,0,0,1,0,39,0,0,0,4,0,0,61,6,36,2,0,2,0,10,17,86,0,0,3,0,0,0,6,0,0,0,1,1,0,0,1,14,0,0,0,0,0,0,0,16,0,39,0,0,2,0,0,0,0,4,1,7,0,5,0,0,0,0,10,0,0,0,0,0,0,38,0,0,37,0,1,0,0,7,1,0,1,0,0,0,0,0,4,2,2,0,0,0,0,7,0
"X84III16",0,0,0,0,0,55,0,0,0,9,0,0,44,0,4,1,0,0,0,14,18,74,0,0,12,0,5,1,0,2,0,0,0,5,0,0,2,40,35,0,0,3,0,0,0,0,0,9,0,0,0,4,0,0,18,24,0,3,0,0,24,0,0,0,16,0,0,0,0,0,0,25,0,4,8,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,12,0
"X93I1",12,0,0,0,0,0,0,0,0,0,0,0,97,0,0,2,59,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,32,0,14,0,8,0,52,0,0,0,0,0,0,55,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,0,0,0,1,0,3,0,0,0,0,5,0,0
"X93I2",0,0,0,0,0,72,0,0,0,23,0,0,93,0,19,0,0,0,0,9,0,98,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,19,0,0,0,1,0,0,0,15,0,16,1,11,0,0,0,6,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,3,21,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"X93I3",0,1,0,0,8,29,1,0,3,5,0,0,95,0,5,5,1,0,1,67,13,73,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,19,0,0,0,0,1,0,0,47,0,15,1,0,1,0,0,6,0,0,0,3,1,0,0,0,0,0,43,0,0,0,1,4,0,62,0,8,8,0,0,0,0,2,0,0,2,0,0,0,12,0,0,0,15,0,0,0,0,7,0
"X93I4",0,0,0,0,2,61,0,1,0,2,0,0,43,0,11,9,0,0,11,47,0,97,0,2,0,0,16,0,0,0,8,0,1,4,0,0,1,15,0,0,0,0,0,0,0,83,2,15,0,0,10,0,0,1,0,0,0,0,1,0,0,3,0,0,26,0,0,3,0,0,0,46,0,5,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,1,0,0,0,0,0,1,0
"X93I5",0,0,0,0,2,47,1,0,4,19,0,0,89,0,1,23,2,0,23,58,0,95,7,2,1,0,0,0,0,0,0,0,1,7,0,0,3,8,0,0,0,0,5,0,0,19,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,20,0,0,35,0,0,0,0,0,0,15,40,5,2,0,0,0,0,0,0,0,1,0,0,0,8,0,2,0,0,0,0,0,1,1,0
"X93I6",0,0,0,4,2,75,0,0,1,12,0,0,65,0,12,7,0,0,26,51,0,88,0,2,0,0,0,0,0,0,0,0,3,8,0,0,2,41,22,0,0,0,0,0,0,48,0,44,2,0,14,0,0,0,0,0,0,0,2,0,0,0,0,0,14,0,0,4,0,0,0,23,4,10,0,0,0,0,0,2,1,0,0,0,0,0,6,0,1,1,12,3,2,0,0,4,0
"X93I7",0,0,0,0,1,19,0,0,0,22,0,2,77,0,21,8,0,1,23,63,2,95,1,3,0,1,19,0,0,0,0,70,8,9,0,0,0,40,0,0,0,0,1,0,0,3,0,32,2,1,8,0,0,2,0,0,4,0,0,0,1,6,0,0,24,0,0,13,2,0,0,41,0,19,1,0,15,0,0,0,0,0,1,1,0,0,12,0,2,0,16,3,0,0,0,8,0
"X93I8",0,2,0,2,5,40,0,0,17,38,0,0,90,0,44,10,0,0,0,22,1,94,1,0,0,0,5,0,0,0,0,0,4,8,0,0,2,59,1,0,0,0,13,0,0,0,0,54,3,0,4,0,0,0,0,0,0,0,0,0,19,5,0,0,27,0,0,0,0,0,0,6,0,20,44,0,8,0,0,1,4,0,1,8,0,0,10,0,6,0,8,1,0,0,0,3,0
"X93I9",0,0,0,1,10,45,0,0,0,46,0,0,32,0,25,6,0,0,13,19,0,95,0,0,0,0,7,0,0,0,1,0,0,5,0,0,0,55,43,5,63,3,16,0,0,0,7,50,1,0,6,0,0,0,0,0,0,0,0,0,61,16,0,0,35,0,0,2,0,2,0,0,0,0,76,0,5,0,0,1,0,0,6,0,0,0,11,0,0,0,5,0,0,0,0,1,0
"X93I10",0,0,0,0,4,54,0,0,25,39,0,0,51,0,45,2,0,0,7,30,0,91,0,3,0,0,1,0,0,0,0,0,1,8,0,0,6,42,54,0,0,0,0,0,0,0,0,17,0,0,25,0,0,0,0,0,0,0,0,0,13,6,0,0,41,0,0,0,0,0,0,84,0,0,15,0,4,0,0,0,0,0,0,5,0,0,8,0,1,1,1,1,0,0,0,0,0
"X93I11",0,0,0,0,8,68,1,0,6,27,0,1,51,0,34,6,0,0,3,38,0,94,0,10,0,0,12,0,0,0,1,0,7,2,0,0,2,50,0,0,0,0,2,2,0,18,43,12,2,0,20,0,0,0,0,0,0,4,0,0,0,7,0,0,23,0,0,4,0,0,0,70,0,0,76,0,22,0,0,2,1,1,0,2,0,0,1,0,0,2,4,0,0,0,0,1,0
"X93I12",0,0,0,0,0,59,3,0,0,26,0,5,52,0,9,8,0,1,16,36,0,95,1,19,0,13,7,0,0,0,1,0,0,4,0,0,1,18,3,0,0,0,1,2,0,5,10,13,3,0,13,0,0,0,0,0,19,19,0,0,5,18,2,0,36,0,0,4,0,0,2,92,6,3,6,0,0,0,0,0,0,0,0,0,0,0,5,0,7,10,24,0,0,0,0,0,0
"X93I13",0,0,0,0,5,91,4,0,0,30,0,0,47,0,12,3,0,0,3,41,0,95,0,1,0,0,0,0,0,0,0,0,6,3,0,0,0,3,0,0,0,0,0,0,0,60,6,41,1,0,13,0,0,0,0,0,0,0,1,0,24,1,0,0,33,0,0,0,0,0,0,24,0,0,35,0,6,0,0,0,0,0,0,1,0,0,9,0,74,1,3,0,0,0,0,4,0
"X93I14",0,0,1,0,1,73,3,0,2,54,0,1,37,0,18,11,0,0,16,41,0,99,0,2,3,0,2,0,0,0,0,0,22,8,0,0,3,16,0,0,0,0,1,0,0,67,9,34,0,1,4,0,0,0,0,0,1,1,0,0,41,2,0,0,27,0,0,0,0,0,2,78,0,0,18,0,15,0,0,1,0,0,0,0,0,0,13,0,15,4,11,1,0,0,0,1,1
"X93I15",0,0,1,0,15,47,1,0,2,16,0,2,57,0,26,5,0,0,5,29,0,82,0,5,0,0,19,0,0,0,0,0,24,2,0,0,1,18,0,0,0,0,6,0,0,16,0,24,3,0,18,0,0,1,0,0,0,7,0,0,6,7,0,0,33,0,0,3,0,0,0,82,0,0,7,0,7,0,0,0,0,0,0,0,0,0,19,0,32,0,1,0,0,0,0,1,0
"X93I16",0,0,0,0,1,25,4,0,9,39,0,0,87,0,42,2,0,6,0,7,1,59,0,0,0,0,12,0,0,0,0,0,0,7,0,0,25,31,1,0,0,0,0,0,0,0,0,24,2,0,0,0,0,0,0,7,0,0,0,0,47,2,0,0,3,0,0,18,0,0,0,3,0,0,6,0,0,0,0,4,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0
"X93I17",0,0,0,2,10,12,0,0,4,55,0,0,79,0,21,5,0,2,0,51,1,92,0,13,0,0,9,0,0,0,0,0,12,13,0,0,12,40,0,0,0,0,0,0,0,1,0,54,3,0,18,0,0,0,5,8,1,0,0,0,60,2,0,0,21,0,8,2,1,7,0,0,0,0,64,0,29,0,0,0,0,0,0,0,0,0,22,0,17,5,70,1,0,0,0,2,0
"X93I18",0,3,0,1,2,9,0,0,3,46,0,0,93,6,37,1,0,5,11,24,0,97,0,2,0,0,14,0,0,0,0,97,4,6,0,3,8,44,0,0,0,0,0,0,0,4,0,0,61,0,0,0,1,0,7,5,0,0,0,0,67,1,0,0,42,0,0,5,2,2,0,1,0,0,30,0,2,0,0,1,0,0,0,0,0,0,6,0,4,9,53,10,0,0,0,10,0
"X93I19",0,0,0,0,2,54,0,0,1,19,0,1,91,2,26,8,0,1,1,47,0,97,0,2,0,3,0,0,0,0,0,0,0,8,0,0,3,46,0,0,0,0,0,1,0,1,10,12,0,0,21,0,0,1,10,6,0,3,0,0,62,1,0,0,32,0,0,1,0,0,0,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,8,2,12,18,2,0,0,8,0
"X93I20",0,0,1,0,4,60,13,0,0,24,0,0,60,7,43,1,0,2,0,47,0,93,0,10,4,0,3,0,4,0,0,0,4,5,0,0,6,19,41,0,0,0,2,4,0,86,0,51,3,3,17,0,0,1,0,0,3,7,0,0,59,1,0,0,33,0,0,1,0,3,1,60,0,0,14,0,0,0,0,2,0,0,1,2,0,0,2,0,35,5,3,1,0,0,0,0,0
"X93I21",0,0,0,0,1,69,5,0,0,24,0,0,44,7,16,0,0,0,0,79,0,94,0,7,2,0,5,0,0,0,0,0,5,2,0,1,11,41,0,0,0,0,14,0,0,88,15,43,3,0,28,0,0,0,6,5,0,22,0,0,57,13,0,0,14,0,3,1,4,3,0,73,4,0,59,0,0,0,0,2,0,0,1,2,0,0,0,0,35,10,31,0,0,0,0,0,0
"X93I22",0,0,0,1,4,53,3,0,1,35,0,0,85,3,21,9,0,1,0,64,0,96,0,5,0,0,2,0,0,1,0,0,1,5,2,0,19,21,0,0,0,0,11,0,0,36,0,33,4,0,16,0,0,0,6,6,1,8,0,0,9,7,0,0,34,0,0,0,0,0,0,80,1,0,20,0,4,0,0,2,0,0,0,0,0,0,0,0,0,11,8,0,0,0,0,1,0
"X93I23",0,0,0,1,0,71,0,0,0,48,0,1,79,4,53,1,0,3,0,68,0,86,0,1,0,0,0,0,0,0,1,0,6,0,1,0,18,51,0,0,0,0,1,0,0,28,6,19,7,0,7,0,0,0,1,3,1,0,0,0,12,0,0,0,48,0,0,9,0,0,0,53,0,0,18,0,0,0,0,3,0,0,0,0,0,0,3,0,13,1,68,0,0,0,0,2,0
"X93I24",0,0,0,0,1,34,0,0,3,60,0,2,62,4,31,1,0,0,0,54,0,97,0,2,0,0,1,0,0,0,0,0,4,6,1,0,7,54,0,0,0,0,31,0,0,81,4,47,15,0,7,0,0,0,4,0,4,1,0,0,56,2,3,0,36,0,0,0,0,0,0,34,0,0,45,0,0,0,0,1,1,0,0,0,0,0,8,0,18,2,61,10,3,0,0,3,0
"X93I25",0,0,0,0,1,67,0,0,0,24,0,0,98,1,18,4,0,4,0,34,1,94,0,15,2,0,7,0,0,0,0,0,11,11,0,0,7,32,0,0,0,0,40,0,0,10,0,32,8,0,6,0,0,0,3,8,0,0,0,0,2,2,1,0,20,0,0,8,0,0,0,33,0,0,7,0,2,0,0,2,1,0,0,3,0,0,9,0,14,6,0,1,1,0,0,1,0
"X93I26",0,0,0,0,0,83,0,0,1,19,0,1,71,0,42,1,0,0,0,8,0,99,0,14,3,0,1,0,1,0,0,0,3,8,0,0,6,23,0,0,0,0,27,0,0,22,0,12,2,0,6,0,0,2,3,0,1,0,0,0,2,1,0,0,45,0,0,0,0,0,0,45,0,0,3,0,0,0,23,2,0,0,4,5,0,0,4,0,1,2,10,1,1,0,0,2,0
"X93I27",0,0,0,0,0,75,0,0,0,5,0,0,97,0,52,1,0,1,0,15,0,94,0,6,2,0,7,0,0,0,0,0,11,0,2,0,19,12,0,1,0,0,0,0,0,0,0,49,19,0,0,0,0,1,6,19,0,0,0,0,2,1,0,0,35,0,0,9,0,0,0,4,0,0,9,0,0,0,0,5,0,0,0,0,0,0,24,0,0,7,0,0,0,0,0,0,0
"X93II1",5,5,0,0,0,9,0,1,0,0,0,0,99,0,5,0,0,0,0,18,1,36,39,0,0,0,2,0,0,0,0,0,0,2,0,0,6,55,14,4,46,0,14,0,0,0,0,0,38,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,38,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0
"X93II2",2,0,0,0,0,6,0,0,0,15,0,0,84,0,25,0,0,1,0,8,0,66,9,0,0,0,0,0,1,0,0,0,0,6,0,0,11,35,0,0,0,0,18,0,0,0,0,21,9,0,1,0,2,1,14,5,0,0,0,0,0,0,0,21,45,0,0,2,1,0,0,0,0,55,0,0,0,0,0,0,1,0,1,2,0,0,13,0,0,0,0,0,0,0,0,11,0
"X93II3",0,0,1,0,0,41,0,0,5,9,0,0,84,0,59,0,0,0,0,22,1,99,0,0,0,0,0,0,0,0,0,0,3,0,2,0,7,16,0,0,0,0,10,0,0,0,20,27,13,0,0,0,9,0,8,8,0,0,0,0,0,0,0,0,32,0,1,1,0,0,0,24,0,0,72,0,0,0,0,0,0,0,0,0,1,0,1,0,7,2,92,0,0,0,0,2,0
"X93II4",0,0,0,0,0,14,0,0,5,57,0,1,55,8,15,34,0,0,18,27,0,97,0,4,3,0,19,0,0,0,26,0,7,7,0,0,18,24,2,0,0,0,31,0,0,0,4,8,12,1,22,0,0,3,7,8,0,1,0,0,0,2,2,0,38,0,0,10,0,0,0,95,0,0,52,0,0,0,0,3,0,0,0,1,0,0,3,0,1,2,0,0,0,1,0,4,0
"X93II5",0,0,1,1,0,24,1,0,6,52,0,2,90,6,32,8,0,0,10,38,0,100,0,4,0,0,16,0,4,0,0,0,2,5,0,0,23,34,2,0,0,0,32,0,0,0,0,15,5,0,2,0,2,1,10,0,0,0,0,0,1,0,0,0,27,0,0,0,0,0,0,65,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0
"X93II6",0,0,3,0,0,18,0,0,0,11,0,0,99,0,31,16,0,0,1,21,2,87,0,0,0,0,0,0,3,0,9,0,0,2,0,0,9,6,0,0,0,0,8,0,0,0,0,11,2,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,25,0,0,7,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,0
"X93II7",0,0,0,2,1,59,0,0,0,7,0,0,95,1,24,20,0,2,2,42,0,99,0,9,0,0,2,0,53,1,0,0,9,0,0,0,10,13,0,0,0,0,38,0,0,4,1,11,4,0,2,0,0,1,3,0,0,0,0,1,4,2,0,0,26,0,0,1,0,0,0,68,0,1,0,0,0,0,0,5,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,10,0
"X93II8",0,0,0,7,3,98,0,0,0,11,0,1,83,1,25,31,0,7,11,42,0,98,44,2,3,0,5,0,2,0,4,0,2,8,0,0,8,11,0,0,0,0,35,1,0,45,3,19,2,0,10,0,0,1,1,7,5,21,0,0,72,8,2,0,17,0,0,0,0,1,0,49,0,0,2,0,0,0,0,3,0,0,1,14,1,0,13,0,37,4,0,3,0,0,0,13,0
"X93II14",0,0,1,0,0,10,0,0,0,52,0,1,94,5,35,3,0,4,0,9,0,83,1,10,4,0,11,0,0,0,29,0,0,20,0,0,3,53,0,0,0,0,32,2,0,0,0,41,10,0,4,0,0,4,0,28,1,0,0,0,71,1,0,0,59,0,0,2,2,7,0,61,0,0,18,1,2,0,0,4,3,0,0,13,3,0,22,0,5,0,0,24,0,1,0,37,1
"X93III1",0,0,0,0,0,58,0,0,2,60,0,0,89,8,49,1,0,2,0,63,0,69,5,0,1,0,1,0,0,1,5,0,0,0,0,0,17,55,0,0,1,6,0,0,0,0,0,51,6,0,5,0,19,2,0,59,0,0,0,1,3,1,0,0,58,0,0,0,0,0,0,33,0,0,15,0,0,1,0,18,5,0,0,11,0,0,2,0,0,0,0,1,0,1,0,17,0
"X93III2",0,0,0,0,0,98,0,0,0,24,0,4,100,2,22,29,0,3,6,32,0,95,0,4,0,0,8,0,21,0,1,0,0,2,0,0,10,58,0,3,0,0,0,0,0,0,0,30,7,0,6,0,9,2,2,6,3,14,0,2,9,0,0,0,8,0,0,5,0,0,0,45,0,0,3,0,1,0,0,6,0,0,2,6,0,0,6,0,3,0,0,0,0,0,0,26,0
"X93III3",0,0,0,0,0,78,0,0,1,26,0,0,100,6,64,5,0,2,0,51,0,93,0,2,0,0,0,0,14,0,7,0,6,2,0,0,4,26,0,0,0,0,24,0,0,0,0,35,5,0,0,0,0,0,0,3,0,3,0,10,0,0,0,0,17,0,0,5,0,0,0,29,0,0,22,0,6,0,0,6,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,15,0
"X93III16",0,0,0,0,0,78,0,0,2,11,0,0,94,0,34,5,0,0,0,47,0,68,1,11,1,0,13,0,1,0,0,0,0,17,0,0,4,47,3,0,0,13,5,0,0,0,0,13,6,0,0,0,2,1,0,31,0,0,0,0,5,0,1,0,36,0,0,3,0,0,0,15,0,2,1,0,0,0,0,1,1,0,0,5,0,0,2,0,0,0,2,1,0,0,0,9,0
"X18I1",0,0,0,0,0,0,0,0,0,0,0,0,95,0,67,0,0,0,0,5,0,61,0,0,2,0,1,1,0,0,0,0,0,0,0,0,8,3,0,0,0,1,0,0,0,0,0,9,7,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,21,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,25,0
"X18I2",0,0,0,0,0,38,0,0,6,5,0,0,96,5,31,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,3,0,18,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,7,36,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,14,1,0,0,0,0,0
"X18I3",0,0,0,0,1,84,5,0,11,5,0,0,87,24,25,4,0,0,0,6,2,69,3,1,2,0,0,0,0,0,0,0,5,0,0,0,2,16,0,0,0,0,1,0,0,14,0,2,1,0,29,0,3,0,0,0,0,0,0,0,3,5,0,0,10,0,0,0,0,0,0,58,0,7,12,0,1,0,0,4,0,0,0,0,0,0,9,0,0,0,84,0,0,0,0,0,0
"X18I4",0,0,0,2,0,24,0,0,8,1,0,2,61,39,0,1,3,0,25,2,5,71,0,8,13,0,3,0,0,0,0,0,7,5,0,0,5,13,19,0,0,0,4,0,0,37,0,6,0,0,10,0,6,0,0,0,0,1,0,0,14,12,4,0,12,0,0,0,0,0,0,57,89,5,11,0,0,0,0,1,0,0,0,0,0,0,3,0,1,7,0,0,0,0,0,5,0
