"","Achillea_millefolium","Adonis_vernalis","Allium_carinatum","Anemone_patens","Anemone_pulsatilla","Anthericum_ramosum","Anthyllis_vulneraria","Arrhenatherum_elatius","Asperula_cynanchica","Asperula_tinctoria","Aster_amellus","Biscutella_laevigata","Brachypodium_pinnatum","Briza_media","Bromus_erectus","Buphthalmum_salicifolium","Campanula_glomerata","Campanula_rotundifolia","Carduus_defloratus","Carex_caryophyllea","Carex_ericetorum","Carex_humilis","Carex_montana","Centaurea_pannonica","Centaurea_scabiosa","Crepis_alpestris","Cytisus_ratisbonensis","Dactylis_glomerata","Danthonia_decumbens","Daphne_cneorum","Dorycnium_pentaphyllum_ssp_germanicum","Erica_herbacea","Euphorbia_cyparissias","Euphorbia_verrucosa","Euphrasia_picta","Festuca_rubra","Festuca_rupicola","Filipendula_vulgaris","Galium_boreale","Galium_mollugo","Galium_pumilum","Galium_verum","Genista_tinctoria","Gentiana_verna","Gentianella_germanica","Globularia_cordifolia","Globularia_punctata","Helianthemum_ovatum","Helictotrichon_pratense","Helictotrichon_pubescens","Hippocrepis_comosa","Hypericum_perforatum","Inula_hirta","Knautia_arvensis","Koeleria_macrantha","Koeleria_pyramidata","Leontodon_hispidus","Leontodon_incanus","Linaria_vulgaris","Linum_catharticum","Linum_perenne","Lotus_corniculatus_ssp_corniculatus","Lotus_corniculatus_ssp_hirsutus","Molinia_caerulea","Peucedanum_oreoselinum","Pilosella_macrantha","Pilosella_officinarum","Pimpinella_saxifraga","Plantago_lanceolata","Plantago_media","Polygala_amarella","Polygala_chamaebuxus","Polygonatum_odoratum","Potentilla_alba","Potentilla_incana","Primula_veris","Prunella_grandiflora","Ranunculus_bulbosus","Rhamnus_saxatilis","Rhinanthus_aristatus","Salvia_pratensis","Sanguisorba_minor","Scabiosa_canescens","Scabiosa_columbaria","Seseli_annuum","Sesleria_albicans","Stachys_officinalis","Taraxacum_campylodes","Teucrium_montanum","Thesium_linophyllon","Thymus_praecox","Trifolium_montanum","Trifolium_pratense","Veronica_spicata","Vicia_cracca","Viola_hirta","Viola_rupestris"
"X18I26",0,0,0,0,0,71,0,0,15,4,0,0,88,1,19,0,0,0,1,0,3,67,0,1,1,0,0,0,3,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,3,0,0,14,0,0,0,0,0,0,3,0,0,4,0,2,0,20,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0
"X18I27",0,0,0,0,0,77,0,0,1,2,0,0,85,0,28,0,0,0,0,0,0,52,0,18,1,0,5,0,0,0,0,0,0,0,0,0,4,20,0,0,0,0,0,0,0,0,0,1,9,0,3,0,0,0,0,3,0,0,0,0,2,1,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,0,0,3,0,0,0,0,0,0,0
"X18II1",0,4,0,0,0,0,0,0,0,1,0,0,95,1,43,1,0,0,0,1,0,47,3,0,0,0,0,0,0,0,0,0,0,8,0,0,2,42,2,0,0,10,4,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0
"X18II2",0,0,0,0,0,3,0,0,3,1,0,0,71,16,14,11,0,0,0,1,0,55,5,0,1,0,1,0,6,0,2,0,0,4,0,0,0,18,0,0,0,0,0,0,0,0,0,7,3,0,0,1,4,0,0,0,0,0,0,6,0,0,0,50,14,0,0,1,0,1,0,1,0,39,0,1,3,0,0,12,1,0,0,0,0,0,5,0,0,1,0,0,0,0,0,13,0
"X18II3",0,0,0,0,0,49,0,0,9,7,0,0,57,1,32,1,0,0,0,1,0,51,1,0,2,0,0,0,0,0,0,0,0,0,0,0,4,13,0,0,0,0,3,0,0,0,8,9,3,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,3,0,0,84,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
"X18II4",0,0,0,0,0,61,3,0,0,35,0,0,62,11,13,1,0,0,2,0,0,41,0,1,2,0,7,0,0,0,0,0,2,1,0,0,16,20,0,0,0,0,1,0,0,0,9,10,0,0,6,0,8,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,5,0,0,92,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,12,0,0,0,0,0,0
"X18II5",0,0,0,0,0,63,0,0,16,7,0,0,72,3,22,0,0,0,0,0,0,51,0,0,1,0,2,0,1,0,0,0,0,0,0,0,19,8,0,0,0,0,0,0,0,0,2,13,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0
"X18II6",0,0,0,0,0,47,0,0,3,20,0,0,93,0,31,8,0,0,0,2,0,63,0,0,0,0,9,0,0,0,10,0,3,5,0,0,0,3,0,0,0,0,0,0,0,0,0,25,0,0,9,0,6,0,1,0,0,0,0,0,0,0,0,0,13,0,0,2,0,0,0,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X18II7",0,0,0,0,0,86,0,0,0,3,0,1,72,2,37,10,0,0,2,0,0,69,1,2,0,0,0,0,6,0,0,0,0,5,0,0,4,5,0,0,0,0,13,0,0,1,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,1,0
"X18II8",0,0,0,1,1,96,0,0,0,5,0,1,72,3,16,7,0,0,1,0,0,67,6,1,1,0,0,0,0,0,2,0,0,5,0,0,10,4,0,0,0,0,1,0,0,3,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,0,0,0,0,1,0
"X18II14",0,0,0,0,0,52,0,0,0,5,0,0,62,0,30,0,0,0,0,0,0,83,0,6,2,0,1,0,0,0,7,0,1,8,0,0,2,37,0,0,0,0,2,0,0,0,0,15,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,6,0
"X18III1",0,0,0,0,0,57,0,0,12,3,0,0,77,0,22,0,0,0,0,2,0,39,4,0,0,0,5,0,0,0,7,0,0,1,0,0,1,10,0,0,0,10,0,0,0,0,0,6,7,1,6,0,20,0,0,0,0,0,0,2,0,0,0,0,21,0,0,0,0,0,0,0,0,4,4,0,20,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0
"X18III2",0,0,0,0,0,76,0,0,7,3,0,0,98,0,23,2,0,0,0,2,2,80,0,2,4,0,3,0,4,0,3,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,4,3,0,0,0,13,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,29,0
"X18III3",0,0,0,0,0,75,0,0,6,1,0,1,69,0,23,0,0,0,0,0,0,77,0,3,1,0,0,0,4,0,6,0,0,0,0,0,0,9,0,0,0,0,5,0,0,0,0,33,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,5,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"X18III16",0,0,0,0,0,44,0,0,12,13,0,0,87,4,18,0,0,0,0,0,0,74,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,13,4,0,0,1,0,0,0,0,0,0,2,0,0,0,8,0,0,2,0,2,0,0,2,0,0,0,12,0,0,0,0,0,0,9,6,3,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0
