"","A_vernalis","A_capillaris","A_patens","A_pulsatilla","A_ramosum","A_vulneraria","A_cynanchica","A_tinctoria","B_laevigata","B_pinnatum","B_media","B_erectus","B_salicifolium","C_glomerata","C_rotundifolia","C_defloratus","C_caryophyllea","C_ericetorum","C_humilis","C_montana","C_pannonica","C_scabiosa","C_ratisbonensis","D_decumbens","D_cneorum","D_pentaphyllum","E_herbacea","E_cyparissias","E_verrucosa","F_rupicola","F_vulgaris","G_boreale","G_mollugo","G_verum","G_tinctoria","G_verna","G_cordifolia","G_punctata","H_ovatum","H_pratense","H_pubescens","H_comosa","I_hirta","K_pyramidata","L_hispidus","L_incanus","L_catharticum","L_perenne","L_corniculatus","L_corniculatus_hirsutus","P_oreoselinum","P_saxifraga","P_media","P_amarella","P_chamaebuxus","P_odoratum","P_alba","P_incana","P_grandiflora","R_saxatilis","R_aristatus","S_pratensis","S_minor","S_canescens","S_columbaria","S_officinalis","Teucrium_montanum","T_linophyllon","T_praecox","Trifolium_montanum","V_spicata","V_hirta"
"X18M18",1,1,2,1,8,1,2,1,2,3,2,2,2,1,1,1,1,1,9,1,2,2,1,2,1,1,1,2,2,2,2,1,1,1,1,1,2,1,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,2,2,1,1,1,2,3,1,2,2,1,2
"X18S01",2,1,1,1,7,1,2,1,1,6,2,3,1,1,1,1,2,2,6,1,2,1,1,2,1,3,1,2,1,1,3,2,1,1,2,1,3,3,2,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,2,1,2,5,4,1,2,1,2,2,1,3,2,1,2,1,1,1
"X18S02",2,2,1,2,6,1,2,2,2,6,2,3,3,1,1,1,1,1,6,3,3,2,1,2,1,3,1,2,1,3,3,2,1,1,2,1,1,1,4,1,1,2,3,1,1,2,1,1,1,1,2,1,1,1,2,1,3,2,1,1,1,2,1,2,1,3,1,1,1,1,1,2
"X18S03",1,1,1,2,6,1,2,1,2,5,1,3,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,2,1,1,2,3,1,1,1,3,1,1,3,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2
"X18S04",1,1,1,1,8,1,1,1,2,4,2,3,2,1,1,1,1,1,8,3,2,2,1,2,1,2,1,2,2,1,2,1,1,1,2,1,1,1,3,1,1,2,2,1,1,1,1,2,2,1,3,2,1,1,2,1,1,2,2,2,1,1,1,1,1,2,1,2,2,2,1,2
"X18S05",1,2,3,1,7,2,2,2,2,5,2,2,4,1,1,1,1,1,7,4,4,2,3,2,1,2,1,2,2,2,3,1,1,1,2,1,1,1,3,1,1,4,3,1,1,1,1,2,1,1,3,1,2,1,2,1,2,4,1,1,2,1,1,1,1,2,1,1,1,1,1,1
"X18S06",1,1,2,3,7,1,1,1,2,4,2,3,4,1,1,3,1,1,7,5,3,3,2,2,1,1,1,1,2,1,2,1,1,1,2,1,2,1,4,1,1,3,2,1,1,1,1,2,2,1,3,1,2,1,2,1,2,4,1,1,1,1,1,1,1,2,2,2,1,2,1,2
"X18S07",1,1,1,1,6,2,2,1,2,5,2,2,2,1,1,4,1,1,7,1,4,1,1,2,2,3,7,1,2,2,2,1,1,1,2,1,3,1,2,1,1,3,1,1,2,2,1,1,2,1,2,1,2,1,3,1,1,2,1,3,2,1,1,2,1,2,3,1,2,1,1,2
"X18S08",1,1,1,2,6,2,2,1,1,5,2,2,3,1,1,3,1,2,7,1,4,3,1,2,1,4,5,2,2,1,3,1,1,1,2,1,1,1,2,2,1,2,3,1,1,2,1,1,1,1,3,1,1,1,4,1,1,3,1,1,2,1,1,1,1,3,1,1,1,1,1,1
"X18S09",1,2,1,1,5,1,2,1,2,6,2,2,1,1,1,3,2,2,7,1,4,3,2,2,1,3,5,2,4,2,2,1,1,1,2,1,2,1,1,2,1,2,2,1,2,1,1,2,1,1,3,1,1,1,3,1,1,1,2,2,2,1,1,1,1,2,1,1,2,1,1,2
"X18S10",1,1,1,2,5,1,2,1,1,4,1,3,3,1,1,4,1,1,8,1,3,3,1,2,1,3,5,2,3,2,2,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,2,4,1,1,1,3,1,1,1,1,2,1,2,2,1,1,2
"X18S11",1,1,1,2,5,1,2,1,1,7,2,3,2,1,1,5,1,2,6,1,2,3,1,1,1,3,1,1,3,2,2,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,2,1,2,1,1,1,2
"X18S12",2,1,1,1,3,1,2,1,1,6,2,3,1,1,1,2,1,1,7,1,2,2,4,1,1,2,2,1,3,2,2,1,1,1,2,1,1,1,2,2,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,7,2,2,1,1,1,3,1,1,1,2,1,1,1,1,1,2
"X18S13",1,1,1,1,6,1,2,1,1,5,2,4,1,2,1,1,1,1,8,1,2,2,2,2,1,1,1,1,1,2,2,1,1,1,2,1,1,1,4,2,1,2,4,2,1,1,1,2,1,1,3,2,1,1,1,1,2,4,2,1,1,2,1,1,1,1,1,1,2,1,1,2
"X18S14",1,1,2,1,3,2,2,1,1,3,2,2,1,2,1,2,1,1,8,1,2,1,1,2,1,1,1,1,1,2,2,2,1,1,2,2,5,1,3,1,1,3,3,2,1,2,1,2,2,1,3,1,1,1,1,4,1,3,2,3,1,1,1,1,1,1,5,1,5,1,1,2
"X18S15",1,1,2,1,2,2,2,1,2,6,2,4,1,1,1,2,1,2,8,1,1,1,2,2,2,3,1,2,1,2,2,2,1,1,2,1,4,1,2,2,1,2,2,1,2,1,1,1,2,2,3,1,1,1,2,3,2,3,1,1,1,1,1,1,2,2,2,1,2,1,1,1
"X18S16",1,1,1,1,2,1,2,2,3,4,2,3,1,1,2,3,1,1,9,1,1,2,2,1,1,4,1,1,2,2,3,2,1,1,2,1,2,1,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,5,3,4,1,5,1,1,1,1,1,1,2,1,2,2,1,2
"X18S17",1,1,1,1,3,1,2,1,1,5,2,5,1,1,1,2,1,1,9,1,1,1,4,1,1,1,1,1,2,1,2,2,2,2,2,1,1,1,2,2,1,2,1,3,2,1,1,1,1,1,2,1,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,2,1,1,2
"X18S18",1,1,1,1,2,1,2,1,1,3,2,5,1,1,2,1,1,1,7,1,1,1,2,1,2,1,1,2,4,3,3,3,1,1,2,1,1,1,5,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,5,2,5,1,1,1,1,1,1,1,1,2,1,3,1,1,2
