Site,Year,Hydro,Water_Type,Conductivity,DOC,TDN,Turbidity,Alkalinity ,Total_CHL,Corrected_CHL,NO3,PO4,Periphyton,Cl,SO4,Organic_Matter,pH,Long,Lat,Ephemeroptera,Hemiptera ,Amphipoda,Gastropoda,Anispotera,Zygoptera,Decapoda,Diptera,Chironomidae,Platyhelminthes,Coleoptera,Daphniidae,Ostracoda,Tricoptera
BJ Bishop,2019,permanent,waste,1.393,3.343,1.367,39.7,432.85,18.997,14.2,2.2,26,0.009655485,94,15,0.04,6.43,-104.317758,29.540223,35,0,0,2,20,17,0,1,0,0,0,0,150,0
Cattail Falls,2019,ephemeral,non-waste,0.232,0.292,0,24.06,25.87,0.963,0.909,0,0,0,0,0,0.01,6.25,-103.334617,29.273519,5,9,0,6,0,12,0,0,0,0,1,0,0,0
Rio Bosque 1,2019,ephemeral,waste,2.044,8.02,19.43,4.22,107.39,7.806,3.181,5.195,2.431,0.005407072,92.46,155.43,0.06,6.53,-106.314309,31.64257,10,1,0,5,0,41,0,7,40,0,16,0,1000,0
Rio Bosque 2,2019,ephemeral,waste,1.531,6.508,6.232,6.89,130.03,4.582,0,8.3,4.3,-0.000772439,140,130,0.08,6.38,-106.314309,31.64257,54,1,0,0,0,5,0,3,20,0,0,20,200,0
Las Palomas,2019,ephemeral,non-waste,1.189,3.7,0.27,29,309.308,3.085,0,0.2,0.3,0,116,59,0.03,7.47,-107.279641,33.059827,10,1,0,2,1,13,0,8,0,0,0,0,100,1
Sweetwater 1,2019,permanent,waste,1.159,6.39,3.79,11.86,173.167,146.678,141.666,7.3,9.1,0.003282865,94,93,0.03,6.7,-111.021681,32.278968,1,0,220,0,5,1,0,0,10,0,0,0,50,0
Tres Rios 1,2019,permanent,waste,1.47,6.95,6.32,14.73,204.017,20.042,10.792,9,7.8,0.021113327,143,66,0.03,7.05,-112.264771,33.397806,0,0,35,30,0,0,2,0,0,0,0,0,90,0
Crossroads,2020,permanent,non-waste,9.847,35.295,3.147,36.4,290.85,48.0366,51.4631,0,0.112,0.000644,801.448,2050.053,0.02,7.72,-106.580658,31.840454,0,5,0,0,1,17,0,0,1,0,0,0,300,0
Keystone,2020,permanent,non-waste,16.398,63.57,5.425,31.6,412.4167,8,352.2836,0,0.675,0.000721,823.265,3718,0.01,7.85,-106.563376,31.822561,0,0,15,0,0,0,0,0,0,0,7,0,0,0
Rio Bosque 1,2020,ephemeral,waste,1.934,8,10.633,13.4,410.375,2.4992,6.8443,5.195,2.431,0.003476,92.46,155.432,0.06,7.21,-106.314309,31.64257,0,2,0,0,1,12,0,0,0,0,0,0,500,0
Rio Bosque 2,2020,ephemeral,waste,1.698,6.97,6.499,11.785,412.4167,9,10.804,8.3,4.3,0.001545,140,130,0.08,6.54,-106.311547,31.640591,0,1,0,0,0,5,0,3,0,0,0,0,200,0
