"","IDENT","elev","PerSlope","aspect","Northness","Sdclass","Rockiness","VallyBotFlat","topowet","PPTann","pptColdQtr","pptWarmQtr","cvTemp","TempColdMin","TempColdMean","TempWarmMean","cvRad","annMeanRad","miAnnMean","miColdQtr","miWarmQtr","T0","T1","T2","GeolID","GeolClass","SOIL","Sandiness","Loaminess","K","Thor","Uran","THtoK","TotalC"
"28","CGS7",374,14,98.673606,-0.150805442,20,10,0,8.42,746,241,119,136,30,72,171,45,154,70,30,24,2882.16,2044.03,906.78,2688,"Ssr","",1,0,0.55,0.02,3.6,0.01,646.53
"29","CGS8",375,7,102.319702,-0.213366345,15,10,0,10.15,747,241,119,136,30,72,171,45,154,70,30,24,2606.12,1903.86,888.4,2688,"Ssr","",1,0,0.55,0.02,3.6,0.01,646.53
"30","MTA1",536,54,74.53469,0.266654893,10,40,0,8.43,919,305,141,136,23,60,158,46,150,76.06,22.94,35.11,4441.8,2366.13,1108.57,2688,"Ssr","",1,0,0.08,0.71,4.13,0.05,675.68
"31","MTA2",545,29,73.880714,0.27763804,10,80,0,8.43,913,302,140,136,23,60,159,46,150,76.03,22.97,35.03,4500.27,2397.41,1123.13,2688,"Ssr","",1,0,0.2,1.14,3.21,0.23,656
"32","MTA3",528,26,68.656532,0.363957962,5,80,0,8.18,908,301,139,136,23,60,159,46,150,76,23,34.11,4996.32,2659.23,1234.12,2688,"Ssr","",1,0,0.09,0.57,4.38,0.05,677.07
"33","MTA4",528,29,68.656532,0.363957962,10,80,0,8.18,908,301,139,136,23,60,159,46,150,76,23,34.11,4996.32,2659.23,1234.12,2688,"Ssr","",1,0,0.09,0.57,4.38,0.05,677.07
"34","GWOND1",590,3,42.168235,0.741176887,10,90,0,8.18,917,322,134,151,18,57,166,46,153,74.32,17.68,30.64,2394.71,1304.5,971.51,2688,"Ssr","",1,0,0.18,3.03,1.72,0.54,491.88
"35","GWOND2",658,16,47.348552,0.677536666,10,95,0,5.21,956,334,140,151,16,53,162,46,152,76,15.48,33.52,2859.09,1515.29,1195.37,2688,"Ssr","",1,0,0.25,3.75,1.48,0.95,479.38
"36","GWOND3",700,19,283.996337,0.241859863,20,30,0,7,956,334,140,151,16,53,162,46,152,75.93,16,33.21,542.64,761.53,4401.65,2688,"Ssr","",1,0,0.25,3.75,1.48,0.95,479.38
"37","GWOND4",685,5,77.611488,0.214539497,20,20,0,7.51,951,332,139,151,16,54,163,46,152,75,16,33,701.32,883.31,4615.28,2688,"Ssr","",1,0,0.01,4.82,2.23,0.03,541.41
